id,domain,control_objective,implementation,status,portfolio_claim,primary_evidence,framework_mapping
YCSEC-IAM-01,Identity and Federation,Replace long-lived cloud keys with GitHub Actions OIDC federation and short-lived token exchange.,GitHub Actions OIDC federation validates access to Yandex Cloud without static cloud keys.,Validated,OIDC-based CI/CD authentication was validated without long-lived cloud key material.,docs/github-actions-oidc-validation.md; evidence/command-outputs/YCSEC_12_8D_OUTPUT_github_actions_oidc_validation_success.txt,NIST SSDF PW.6; SLSA Build L2/L3 pattern; CIS IAM least privilege principle
YCSEC-IAM-02,Identity and Access Management,"Use scoped service accounts for bootstrap, registry, audit, and short-lived Managed Kubernetes workloads.",Bootstrap service accounts were retained separately from temporary MKS runtime service accounts; temporary MKS identities were destroyed after cloud evidence runs.,Validated,Temporary runtime identities were separated from retained bootstrap identities and removed after validation.,docs/cloud-evidence-gap-register.md; evidence/command-outputs/YCSEC_13_5_OUTPUT_post_destroy_mks_cluster_list.txt; evidence/command-outputs/YCSEC_13_5_OUTPUT_post_destroy_compute_instance_list.txt,CIS IAM least privilege; NIST CSF 2.0 PR.AA
YCSEC-AUD-01,Audit and Evidence,Enable audit trail collection and preserve sanitized public evidence for cloud actions.,Audit Trails resource was retained and validated as part of the bootstrap evidence track.,Validated,Cloud audit evidence was integrated into the evidence register and gap register.,docs/cloud-evidence-gap-register.md; docs/evidence-index.md,NIST CSF 2.0 DE.CM; ISO 27001 logging/audit control pattern
YCSEC-IAC-01,Infrastructure as Code,Provision and destroy cloud infrastructure through controlled Terraform runs.,"Managed Kubernetes, network, service accounts, node group, and cleanup paths were executed with Terraform and verified after destroy.",Validated,Cloud resources were created and destroyed through IaC with post-destroy verification.,evidence/command-outputs/YCSEC_13_5_OUTPUT_mks_terraform_plan_sanitized.txt; evidence/command-outputs/YCSEC_13_5_OUTPUT_mks_terraform_apply_sanitized.txt; evidence/command-outputs/YCSEC_13_5_OUTPUT_mks_terraform_destroy_sanitized.txt,NIST SSDF PO.5; CIS IaC governance pattern
YCSEC-K8S-01,Managed Kubernetes,Demonstrate real Managed Kubernetes lifecycle evidence in Yandex Cloud.,"Short-lived MKS clusters were created for baseline/remediation and Kyverno validation, then destroyed.",Validated,"Managed Kubernetes was validated using real cloud infrastructure, not only local manifests.",docs/managed-kubernetes-cloud-run-plan.md; docs/kyverno-admission-policy-enforcement-validation.md; evidence/after/kyverno_mks_nodes_ready.txt,CIS Kubernetes; NIST CSF 2.0 PR.PS
YCSEC-K8S-02,Kubernetes Workload Hardening,Move from insecure workload patterns to hardened runtime controls.,"Hardened workload requirements include non-root execution, privilege escalation denial, read-only root filesystem, dropped capabilities, RuntimeDefault seccomp, and registry-controlled image source.",Validated,Hardened workload controls were validated through server-side admission.,kubernetes/admission-validation/hardened-workload-allowed.yaml; evidence/after/kyverno_hardened_workload_allowed.txt,CIS Kubernetes Pod Security; NSA/CISA Kubernetes Hardening pattern
YCSEC-K8S-03,Policy as Code,Enforce workload security requirements at admission time.,Kyverno admission policy denied the insecure workload and allowed the hardened workload.,Validated,Kyverno admission policy enforcement was proven on Yandex Managed Kubernetes.,kubernetes/admission-validation/kyverno-supply-chain-policy.yaml; evidence/after/kyverno_policy_status.txt; evidence/after/kyverno_insecure_workload_denied.txt; evidence/after/kyverno_hardened_workload_allowed.txt,CIS Kubernetes Admission Control; NIST SSDF PW.8
YCSEC-SC-01,Supply Chain Security,Build and push container images through OIDC-authenticated CI/CD into Yandex Container Registry.,GitHub Actions exchanged an OIDC assertion for a Yandex Cloud IAM token and pushed controlled demo images to YCR.,Validated,CI/CD image publishing was validated through OIDC and Yandex Container Registry.,docs/supply-chain-oidc-registry-validation.md; evidence/command-outputs/YCSEC_13_3_OUTPUT_supply_chain_oidc_registry_validation_success.txt,SLSA build provenance pattern; NIST SSDF PS.3
YCSEC-SC-02,SBOM,Generate SBOM evidence for insecure and hardened container images.,Syft generated CycloneDX SBOMs for registry-pushed insecure and hardened images.,Validated,SBOM evidence exists for both vulnerable baseline and hardened image.,docs/sbom-vulnerability-validation.md; evidence/sbom/ycsec_supply_chain_insecure_sbom_cyclonedx.json; evidence/sbom/ycsec_supply_chain_hardened_sbom_cyclonedx.json,NIST SSDF PS.3; SLSA dependency visibility
YCSEC-SC-03,Vulnerability Management,Measure vulnerability reduction between insecure and hardened images.,"Trivy and Grype scans were executed against registry-pushed images, and final remediation metrics were consolidated.",Validated,The hardened image showed measurable vulnerability reduction compared with the insecure baseline.,docs/supply-chain-vulnerability-metrics.md; docs/final-remediation-metrics.md; evidence/metrics/final_remediation_metrics.json,NIST SSDF RV.1; NIST CSF 2.0 ID.RA
